date,EW_NoRD,EW_RD,VW_NoRD,VW_RD
1985-07-31,,0.027344,,0.027344
1985-08-30,,0.072243,,0.072243
1985-09-30,,-0.028571,,-0.028571
1985-10-31,,-0.014706,,-0.014706
1985-11-29,,0.037313,,0.037313
1985-12-31,,0.101449,,0.101449
1986-01-31,,0.023026,,0.023026
1986-02-28,,0.151125,,0.151125
1986-03-31,,0.058989,,0.058989
1986-04-30,,0.0,,0.0
1986-05-30,,0.037135,,0.037135
1986-06-30,,0.118252,,0.118252
1986-07-31,,-0.02069,,-0.02069
1986-08-29,,0.018779,,0.018779
1986-09-30,,-0.099537,,-0.099537
1986-10-31,,0.11054,,0.11054
1986-11-28,,0.013889,,0.013889
1986-12-31,,-0.020642,,-0.020642
1987-01-30,,0.096019,,0.096019
1987-02-27,,0.066239,,0.066239
1987-03-31,,-0.038229,,-0.038229
1987-04-30,,-0.07113,,-0.07113
1987-05-29,,0.018018,,0.018018
1987-06-30,,0.044444,,0.044444
1987-07-31,0.06469,0.07234,0.06469,0.07234
1987-08-31,0.042937,0.017857,0.042937,0.017857
1987-09-30,-0.039312,-0.027397,-0.039312,-0.027397
1987-10-30,-0.28133,-0.150905,-0.28133,-0.150905
1987-11-30,0.0,-0.167062,0.0,-0.167062
1987-12-31,0.13153,0.020057,0.13153,0.020057
1988-01-29,-0.041534,0.05618,-0.041534,0.05618
1988-02-29,0.026533,0.035904,0.026533,0.035904
1988-03-31,-0.033003,-0.077519,-0.033003,-0.077519
1988-04-29,0.153584,0.044818,0.153584,0.044818
1988-05-31,0.014675,0.033512,0.014675,0.033512
1988-06-30,-0.032544,0.078329,-0.032544,0.078329
1988-07-29,0.004764180011357182,-0.00968297503671072,-0.005847842108925064,-0.015480492247925425
1988-08-31,-0.02571756301413785,-0.028122102526889882,-0.019498058373985126,-0.04735608946228336
1988-09-30,0.017151932252460915,0.020953179658500375,0.05034903558604355,0.026708430967258362
1988-10-31,-0.007455235949690962,-0.02483998805078417,0.022434096525133847,0.016381505261281362
1988-11-30,-0.03797156470588235,-0.03934252147701583,-0.014857049448092711,-0.017790727849881612
1988-12-30,0.021719922434367545,0.037965458966565356,0.02348240562875983,0.02779703295820555
1989-01-31,0.06396590296526772,0.06380372107279694,0.060812455898158646,0.07076063382883879
1989-02-28,0.008219180555555556,0.004146083204930662,-0.007843876001156633,-0.028895293697372676
1989-03-31,0.0276137848745322,0.010392232323232322,0.027393015548362966,0.0017133533147047362
1989-04-28,0.045641210939485644,0.03550502734375,0.05789597193144967,0.04540071569482342
1989-05-31,0.03172450272820074,0.03640579984239559,0.049906907992970796,0.03173221291531987
1989-06-30,-0.009511370947630923,-0.01986315802301911,0.00796903059255076,-0.016869807244950182
1989-07-31,0.034251147004271586,0.02345687230440918,0.07896833058984444,0.06965816818037121
1989-08-31,0.018111962761126248,0.019036281672816728,0.019288992774303293,0.029609685551696047
1989-09-29,-0.00456104216315307,0.008956405688902226,-0.0028971603696215827,-0.008906389328789713
1989-10-31,-0.048985427768615954,-0.05102288937228092,-0.031306186369209635,-0.029310745482726063
1989-11-30,-0.0036573896331985128,-0.01847257261661717,0.018018143155026714,0.01774739725990557
1989-12-29,-0.0013559550093632964,-0.012547548366834171,0.028740781356085807,0.023242805876168754
1990-01-31,-0.04924936998584238,-0.05041160199610506,-0.08336991273455745,-0.05231671172530378
1990-02-28,0.024563591074897865,0.024699373570520967,0.013162089031257965,0.023631417811349573
1990-03-30,0.033522701099952174,0.037351376839411386,0.02561326162939559,0.03611362368668774
1990-04-30,-0.026074747231584018,-0.01196475597159458,-0.03597962639131783,-0.02197885706739823
1990-05-31,0.050816182435710816,0.06369966794899416,0.08851535610470401,0.0832873086562337
1990-06-29,0.007946807680445967,0.009257269177776023,-0.006638506164650678,-0.012148689633858704
1990-07-31,-0.02276651189315953,-0.03373257692595782,-0.021851079037632733,-0.0021206351570127
1990-08-31,-0.10950887414350045,-0.13130061961274203,-0.09781167661453716,-0.0941214961498353
1990-09-28,-0.06993756965517242,-0.0863129654522613,-0.04512349278038967,-0.05572776776170664
1990-10-31,-0.06325608301027302,-0.045693447117977834,-0.005662344215073328,-0.011622598019816091
1990-11-30,0.038107354360428634,0.04909725619834711,0.06178809380975782,0.06787055920609061
1990-12-31,-0.0016592020628223162,0.0052023271565495195,0.032321976893383134,0.028163047721864086
1991-01-31,0.07121156987724267,0.1342125012065637,0.05103424518850553,0.06557087851716471
1991-02-28,0.12006696489563566,0.14106734732085216,0.06895274681694508,0.07594404716059244
1991-03-28,0.07166392656206164,0.10294416064610273,0.029370228666104177,0.01707197598229459
1991-04-30,0.032056245714630616,0.03129181508196721,0.006114674585873842,0.00010616528542479672
1991-05-31,0.03057550804485617,0.0355710105471325,0.03806711643940837,0.04264280709517289
1991-06-28,-0.027214475876296624,-0.044952958804713346,-0.038019841244007105,-0.04689199154155699
1991-07-31,0.028359103362819413,0.0392891057571965,0.04114749631044304,0.04160951983129234
1991-08-30,0.025394104640582348,0.03511177498428661,0.030802136378816826,0.017794230612842986
1991-09-30,0.0008126630136986302,0.018126572239747632,-0.010753937626352073,-0.015058537620693152
1991-10-31,0.016152094722601838,0.03789702948651871,0.004505998680047194,0.014410056001934873
1991-11-29,-0.024308798539184006,-0.02666260789306174,-0.025527576470049815,-0.04942429494517801
1991-12-31,0.02396542973379116,0.04716771294933418,0.09861424504045335,0.10135948790749974
1992-01-31,0.13998142629854937,0.184926170706133,0.009063901949409023,0.00818692175145803
1992-02-28,0.054498774068116755,0.06314660642394822,0.015873928367539217,0.01522288227891323
1992-03-31,-0.007530939781887148,-0.019296169565217392,-0.01995910511935576,-0.016734974848426697
